source_key,source_type,meter_id,display_name,area_name,visible_in_meter_center,include_in_totals,include_in_reports,online,protocol,ip,port,station_id,realtime_power,daily_energy,monthly_energy,electric_energy,voltage_a,voltage_b,voltage_c,current_a,current_b,current_c,power_factor,frequency,updated_at
cabinet:0,cabinet_meter,cabinet_meter_0,中控室,,0,0,1,1,AV-100,192.168.50.6,502,50,1.58,0.0,202.5,21795.21,222.6,222.3,222.2,0.9,1.1,5.1,0.0,0.0,
cabinet:1,cabinet_meter,cabinet_meter_1,二号厅LED,,1,1,1,1,AV-100,192.168.80.243,502,50,0.0,0.0,0.0,39024.4,224.3,224.1,225.0,0.0,0.0,0.0,0.0,0.0,
cabinet:2,cabinet_meter,cabinet_meter_2,影棚配电柜,,1,1,1,1,AV-100,192.168.50.60,502,50,0.43,0.0,18.1,3499.42,224.5,224.3,225.0,0.2,0.5,1.2,0.0,0.0,
cabinet:3,cabinet_meter,cabinet_meter_3,影棚LED配电柜,,1,1,1,1,AV-100,192.168.50.61,5061,50,0.0,0.0,64.3,8955.12,224.6,224.4,225.1,0.0,0.0,0.0,0.0,0.0,
cabinet:4,cabinet_meter,cabinet_meter_4,门口LED,,1,1,1,1,AV-100,192.168.50.59,5059,50,0.0,0.0,0.0,15.2,221.1,222.2,222.8,0.0,0.0,0.0,0.0,0.0,
meter:legacy_meter_2,standalone_meter,legacy_meter_2,深澜空间总电表,,1,1,1,1,PD606 Modbus 地址表,192.168.50.103,502,1,3.187,0.0,3.3,242002.528,222.0,221.9,222.6,5.16,5.46,11.1,0.0,0.0,
meter:legacy_meter_3,standalone_meter,legacy_meter_3,2号厅,,1,1,1,1,南誉三相四线 Modbus,192.168.50.105,502,1,0.277,0.0,0.2,37631.44,222.4,222.3,222.9,2.263,0.471,0.921,0.0,0.0,
meter:legacy_meter_5,standalone_meter,legacy_meter_5,中控室独立电表,,1,1,1,1,德力西 DTSU6606 直连 Modbus,192.168.50.101,502,1,1.01,0.0,0.9,11263.86,222.6,222.3,222.2,0.0,0.23,4.96,0.0,0.0,
meter:legacy_meter_6,standalone_meter,legacy_meter_6,运营中心,,1,1,1,1,南誉三相四线 Modbus,192.168.50.104,502,10,0.2494,0.0,0.2,16649.83,222.3,222.3,223.0,0.537,1.193,0.0,0.0,0.0,
meter:legacy_meter_12,standalone_meter,legacy_meter_12,办公室,,0,0,0,1,南誉三相四线 Modbus,192.168.50.106,502,1,0.2175,0.0,0.2,556.63,222.6,222.2,222.9,1.073,0.4,0.0,0.0,0.0,
meter:legacy_meter_9,standalone_meter,legacy_meter_9,办公室&工作坊,,1,1,1,1,南誉三相四线 Modbus,192.168.50.104,502,9,1.1534,0.0,1.3,2756.27,222.5,222.3,223.0,1.264,0.994,4.755,0.0,0.0,
meter:legacy_meter_10,standalone_meter,legacy_meter_10,2楼小机房,,1,1,1,1,南誉 2P Int Modbus,192.168.50.102,502,11,0.272,0.0,0.2,6524.9,222.2,0.0,0.0,1.39,0.0,0.0,0.0,0.0,
meter:legacy_meter_11,standalone_meter,legacy_meter_11,咖啡厅,,1,1,1,1,南誉三相四线 Modbus,192.168.50.104,502,8,0.0612,0.0,0.2,9219.45,222.4,223.1,222.5,0.0,0.078,1.409,0.0,0.0,
meter:meter_1774625129670,standalone_meter,meter_1774625129670,一号厅,一号厅,1,1,1,1,Modbus-RTU/TCP,192.168.1.200,502,1,0.57,0.0,201.6,10531.35,222.6,222.3,222.2,0.9,0.87,0.14,0.0,0.0,
